Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /items/:id (soft-delete),34,0,6,17.51279897058232,2.9166670010454254,171.98574999929406,0.0,0.5738341414478471,0.0,6,9,11,14,20,120,170,170,170,170,170
GET,GET /sections/:id/items (read),29,0,8,13.944729793240247,2.361999999266118,98.23704200061911,8114.724137931034,0.48944676770551665,0.0,8,10,11,13,46,58,98,98,98,98,98
POST,POST /items (add),67,0,6,7.586919776000666,2.388582999628852,25.230749999536783,259.82089552238807,1.130790808147228,0.0,6,8,9,10,15,20,24,25,25,25,25
PUT,PUT /items/:id (update),52,0,7,10.217040115374122,1.985041999432724,47.7149999987887,260.71153846153845,0.8776286869202368,0.0,7,10,11,12,22,29,36,48,48,48,48
POST,[setup] create section,1,0,64.53512500047509,64.53512500047509,64.53512500047509,64.53512500047509,167.0,0.01687747474846609,0.0,65,65,65,65,65,65,65,65,65,65,65
POST,[setup] create seed item,10,0,1,2.7146664999236236,0.6061659987608436,19.022541999220266,258.0,0.1687747474846609,0.0,1,1,1,1,19,19,19,19,19,19,19
,Aggregated,193,0,7,11.04209238339366,0.6061659987608436,171.98574999929406,1393.9844559585492,3.2573526264539554,0.0,7,9,10,11,19,30,67,120,170,170,170
