Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,[legit] DELETE /items/:id,8,0,5,10.866124999665772,2.654833999258699,35.116082999593345,0.0,0.1362323947759183,0.0,7,8,22,22,35,35,35,35,35,35,35
GET,[legit] GET /sections/:id/items,37,0,8,10.431503378149008,2.912958998422255,32.47833299974445,2258.7027027027025,0.6300748258386222,0.0,8,10,15,17,24,28,32,32,32,32,32
POST,[legit] POST /items (add),27,0,11,11.321421407248838,3.276542000094196,25.15191699967545,258.85185185185185,0.45978433236872424,0.0,11,11,14,16,20,23,25,25,25,25,25
PUT,[legit] PUT /items/:id (update),22,0,7,9.47388645446071,3.0699580001964932,30.782625000938424,260.77272727272725,0.3746390856337753,0.0,7,8,11,11,15,26,31,31,31,31,31
POST,[setup] create section,10,0,1,15.635754199865914,0.5206249988987111,146.78695800103014,177.0,0.17029049346989789,0.0,1,1,2,3,150,150,150,150,150,150,150
POST,[setup] create seed item,30,0,1,1.6924223332656159,0.5341670002962928,7.2860419986682246,259.8,0.5108714804096937,0.0,1,2,2,2,4,4,7,7,7,7,7
,Aggregated,134,0,6,8.911408335666577,0.5206249988987111,146.78695800103014,790.0149253731344,2.2818926124966317,0.0,6,8,11,11,20,25,32,35,150,150,150
