Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /items/:id (soft-delete),183,0,5,5.581469950846668,1.6419589992437977,24.160749999282416,0.0,3.09019291465245,0.0,5,6,7,7,8,10,18,22,24,24,24
GET,GET /sections/:id/items (read),207,0,5,6.290937425076747,1.8438749993947567,32.34566700120922,20398.202898550724,3.495464116574083,0.0,5,6,7,8,11,13,16,19,32,32,32
POST,POST /items (add),311,0,6,7.223807324688716,1.9654160005302401,75.93212500069058,259.7556270096463,5.251639324901158,0.0,6,7,8,8,12,17,26,28,76,76,76
PUT,PUT /items/:id (update),257,0,6,6.7561165797229155,1.9402079997234978,34.61062499991385,260.76653696498056,4.339779120577484,0.0,6,7,8,8,12,16,21,25,35,35,35
POST,[setup] create section,1,0,12.86183299998811,12.86183299998811,12.86183299998811,12.86183299998811,167.0,0.016886300080068032,0.0,13,13,13,13,13,13,13,13,13,13,13
POST,[setup] create seed item,10,0,1,1.044250100312638,0.64320900128223,2.981834000820527,257.6,0.16886300080068034,0.0,1,1,1,1,3,3,3,3,3,3,3
,Aggregated,969,0,5,6.532366791502499,0.64320900128223,75.93212500069058,4512.871001031992,16.362824777585924,0.0,5,7,7,8,11,15,21,26,76,76,76
