Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /items/:id (soft-delete),393,0,5,6.992300460609396,1.5133329998207046,99.84979100045166,0.0,6.641964214465253,0.0,5,6,7,8,13,19,27,39,100,100,100
GET,GET /sections/:id/items (read),373,0,6,8.70329356834966,1.1203750000277068,127.81229099891789,23740.603217158176,6.303950768436487,0.0,6,7,8,9,14,25,49,64,130,130,130
POST,POST /items (add),559,0,5,7.968609926608219,1.1359589989297092,110.43095800050651,259.7352415026834,9.447475816504012,0.0,5,6,8,9,13,19,44,69,110,110,110
PUT,PUT /items/:id (update),584,0,5,7.277963833894941,1.2991669991606614,114.21354199956113,260.7945205479452,9.86999262403997,0.0,5,6,7,8,12,19,33,50,110,110,110
POST,[setup] create section,1,0,26.77770800073631,26.77770800073631,26.77770800073631,26.77770800073631,167.0,0.016900672301438303,0.0,27,27,27,27,27,27,27,27,27,27,27
POST,[setup] create seed item,10,0,1,2.4092499999824213,0.9429170004295884,5.21479199960595,257.8,0.16900672301438302,0.0,2,3,3,5,5,5,5,5,5,5,5
,Aggregated,1920,0,5,7.682269071866206,0.9429170004295884,127.81229099891789,4768.482291666666,32.44929081876154,0.0,5,6,8,8,13,19,38,61,110,130,130
