Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,[legit] DELETE /items/:id,45,0,5,8.052899133326719,2.604875000542961,74.786083001527,0.0,0.7598294557914387,0.0,5,6,8,9,13,16,75,75,75,75,75
GET,[legit] GET /sections/:id/items,155,0,5,10.11214411625969,1.4709159986523446,166.17350000160513,2705.974193548387,2.6171903477260665,0.0,5,7,9,10,15,25,71,160,170,170,170
POST,[legit] POST /items (add),123,0,6,18.350442032616282,2.414541999314679,262.10741700197104,258.7235772357724,2.076867179163266,0.0,6,9,11,16,39,79,150,210,260,260,260
PUT,[legit] PUT /items/:id (update),70,0,7,12.324724385689478,2.9285420023370534,139.82716600003187,260.65714285714284,1.1819569312311269,0.0,7,10,11,16,22,29,88,140,140,140,140
POST,[setup] create section,10,0,1,8.231116800379823,0.6847920012660325,71.66937500005588,176.8,0.16885099017587527,0.0,1,2,2,2,72,72,72,72,72,72,72
POST,[setup] create seed item,30,0,1,1.8893431332495918,0.6787919992348179,12.020207999739796,259.6666666666667,0.5065529705276258,0.0,1,2,2,2,4,7,12,12,12,12,12
DELETE,[unauth] DELETE /items/:id,21,0,6,12.849940476284939,2.582417000667192,92.02591600114829,33.0,0.3545870793693381,0.0,6,8,9,10,22,47,92,92,92,92,92
GET,[unauth] GET /sections/:id/items,29,0,5,9.159024482555807,2.45224999889615,100.12354200080154,12.0,0.48966787151003827,0.0,5,7,7,7,15,26,100,100,100,100,100
POST,[unauth] POST /items (add),24,0,6,10.916126708404287,2.687125001102686,100.30620800171164,33.0,0.40524237642210065,0.0,6,8,10,10,16,17,100,100,100,100,100
PUT,[unauth] PUT /items/:id (update),20,0,5,9.472987449953507,2.038540998910321,46.759832999669015,33.0,0.33770198035175053,0.0,6,6,11,13,27,47,47,47,47,47,47
,Aggregated,527,0,5,11.718209844455753,0.6787919992348179,262.10741700197104,913.7495256166983,8.898447182268626,0.0,5,7,9,11,19,43,95,140,260,260,260
